,English Company Name,Chinese Company Name,Valid Licence since,District,Address,Telephone No,FAX,Email,Placement Type
25,4tutor Limited,,2019,Wan Chai District,"9th floor, McDonald's Building, 46 Yee Wo Street, Causeway Bay, Hong Kong",98172557, ,info@4tutor.hk,Office Staff / Executive Search
26,50 Plus Consultancy,,2021,Yau Tsim Mong District,"Room 1226, 12th floor, Solo Building, 41-43 Carnarvon Road, Tsim Sha Tsui, Kowloon",37913482, ,50plusconsultancy@gmail.com,Office Staff / Executive Search
27,520 Employment Agency,520 僱傭,2021,Yuen Long District,"Shop 3, Ground floor, Cheong Sing Building, 3 Wang Fat Path, Yuen Long, New Territories",26793331,26793332,agency520@yahoo.com,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker"
28,99Owls Consultancy Limited,,2017,Central and Western District,"Room 2104, 21st floor, Wing Tuck Commercial Centre, 177-183 Wing Lok Street, Sheung Wan, Hong Kong",57402000, ,recruitment@asia99owls.com,Office Staff / Executive Search
29,A & E Employment Centre,運通僱傭中心,2006,Yau Tsim Mong District,"Room 1605, 16th floor, Hollywood Plaza, 610 Nathan Road, Mong Kok, Kowloon",27701198,23889057,mongkok@aeemployment.com,"Local Domestic Helpers, Foreign Domestic Helpers"
30,A & E Employment Centre,運通僱傭中心,2007,Tsuen Wan District,"Room 726, 7th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories",31000151,31000120,tsuenwan@aeemployment.com,Foreign Domestic Helpers
31,A & E Employment Centre,運通僱傭中心,2008,Wan Chai District,"Flat 1602, 16th floor, Mcdonald's Building, 46-54 Yee Wo Street, Causeway Bay, Hong Kong",21551120,21551139,causewaybay@aeemployment.com,Foreign Domestic Helpers
32,A & E Employment Centre,運通僱傭中心,2008,Yuen Long District,"Shop 1A, 2nd floor, Tung Yick Building, 8 Yu King Square, Yuen Long, New Territories",24740001,24740123,yuenlong@aeemployment.com,Foreign Domestic Helpers
33,A & W EMPLOYMENT SERVICES CENTRE,雅麗僱傭服務中心,2020,Yuen Long District,"Ground floor, 3 Kau Tung Street, Lau Fau Shan, Yuen Long, New Territories",24721260, ,ricky21128410@yahoo.com.hk,Foreign Domestic Helpers
34,A AND A COMPANY,星星公司,2015,Yuen Long District,"Room E, 8th floor, Len Shing Mansion, 162-168 Castle Peak Road, Yuen Long, New Territories",62359771,26181326, ,Foreign Domestic Helpers
35,A Maids Employment Service Centre,千悅僱傭中心,2005, ,"Shop 123, 1st floor, Peninsula Centre, 67 Mody Road, Tsim Sha Tsui East, Kowloon", , , ,Foreign Domestic Helpers
36,A MATCH CONSULTANT LIMITED,,2014,Central and Western District,"Room 1104, 11th floor, Crawford House, 70 Queen's Road Central, Central, Hong Kong",21370567, ,pc@amatch.com.hk,"Office Staff / Executive Search, Imported Worker"
37,A PLUS DK GLOBAL SERVICES,,2021,Central and Western District,"Unit A, 11th floor, Wing Tat Commercial Building, 121-125 Wing Lok Street, Central, Hong Kong",63806671, ,dilip@aplusdk.com,"Local Domestic Helpers, Foreign Domestic Helpers"
38,A Start Personnel Limited,,2016,Kwai Tsing District,"Room B10, 18th floor, Kwai Fong Industrial Building, 9-15 Kwai Cheong Road, Kwai Chung, New Territories",36299382, ,astart@astart.com.hk,Office Staff / Executive Search
39,A&F EMPLOYMENT CENTRE,運健僱傭中心,2015,Yau Tsim Mong District,"Room 1605, 16th floor, Hollywood Plaza, 610 Nathan Road, Mong Kok, Kowloon",96821622,23889057,cwbcentre1002@yahoo.com.hk,Foreign Domestic Helpers
40,A&F EMPLOYMENT CENTRE,運健僱傭中心,2015,Wan Chai District,"Flat 1602, 16th floor, Mcdonald's Building, 46-54 Yee Wo Street, Causeway Bay, Hong Kong",96821622,23889057,cwbcentre1002@yahoo.com.hk,Foreign Domestic Helpers
41,A&F EMPLOYMENT CENTRE,運健僱傭中心,2015,Yuen Long District,"Shop 1A, 2nd floor, Tung Yick Building, 8 Yu King Square, Yuen Long, New Territories",96821622,23889057,cwbcentre@yahoo.com.hk,Foreign Domestic Helpers
42,A&F EMPLOYMENT CENTRE,運健僱傭中心,2015,Tsuen Wan District,"Room 726, 7th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories",31000151,31000120, ,Foreign Domestic Helpers
43,A-1 Personnel Services,時峰人事顧問服務,2015,Eastern District,"Room 1403, 14th floor, Hang Seng North Point Building, 341 King's Road, North Point, Hong Kong",25782105,25669147, ,Office Staff / Executive Search
44,A-LINK EMPLOYMENT AGENCY,萬力海外僱傭中心,2018,Eastern District,"Block A, 1st floor, Ming Sau Building, 91A Chun Yeung Street, North Point, Hong Kong", , , ,Foreign Domestic Helpers
45,A-LIST CONSULTANT INTERNATIONAL LIMITED,創優人事顧問國際有限公司,2018,Sham Shui Po District,"Unit 1101, 11th floor, Tower 1, Cheung Sha Wan Plaza, 833 Cheung Sha Wan Road, Lai Chi Kok, Kowloon",52822175,81471892,cpa-hk12@foxmail.com,Office Staff / Executive Search
46,A-Max Concept Far East Co.,弘達遠東公司,2021,Kwai Tsing District,"Room D2, 4th floor, Block 1, Wah Fung Industrial Centre, 33-39 Kwai Fung Street, Kwai Chung, New Territories",36195161, ,jojo@amaxconcept.net,Office Staff / Executive Search
47,A.C.J INTERNATIONAL RECRUITMENT SERVICES,,2020,Central and Western District,"Room 501, 5th floor, Lansing House, 41-47 Queen's Road Central, Central, Hong Kong",81912818, ,info@acj.com.hk,Foreign Domestic Helpers
48,A.I. Pacific Consultants,,2009,Kwun Tong District,"RoomA18, Block A, 3rd Floor, Chung Mei Centre, 15 Hing Yip Street, Kwun Tong, Kowloon",37411833/37411831,37411834,cat@ai-pacific.com,Office Staff / Executive Search
49,A.V.M.S. Limited,好姊妹人力資源有限公司,2002,Yau Tsim Mong District,"Shop L115, 1st floor, Metro Harbour Plaza, Tai Kok Tsui, Kowloon",31443367,31443962,tkt@avms.com.hk,"Local Domestic Helpers, Foreign Domestic Helpers"
50,A.V.M.S. Limited,好姊妹人力資源有限公司,2006,Yuen Long District,"Shop 26, Ground floor, Block A, Town Centre, Fairview Park, Yuen Long, New Territories",24822066,24710368,yl@avms.com.hk,"Local Domestic Helpers, Foreign Domestic Helpers"
51,A.V.M.S. Limited,好姊妹人力資源有限公司,2009,Sai Kung District,"Shop 240, Level 2, Metro City, Phase III, Shopping Arcade, 8 Hau Yip Road, Tseung Kwan O, New Territories",27031662,27031727,tko@avms.com.hk,"Local Domestic Helpers, Foreign Domestic Helpers"
52,A.V.M.S. Limited,好姊妹人力資源有限公司,2016, ,"STALL No. 8, Ground floor, Hang Fa Chuen Wet Market, 100 Shing Tai Road, Hang Fa Chuen, Hong Kong",27750883,27750677,yt@avms.com.hk,Foreign Domestic Helpers
53,AA CHOICE PERSONNEL CONSULTANCY LIMITED,優秀人事顧問有限公司,2010,Wan Chai District,"Room 903, 9th floor, Valley Centre, 80-82 Morrison Hill Road, Wan Chai, Hong Kong",28388603,21520649,michelle@ablechoice.com,Office Staff / Executive Search
54,AACURAPID (HONG KONG) LIMITED,,2014,Central and Western District,"Room 1104A, 11th floor, Kai Tak Commercial Building, 317-319 Des Voeux Road Central, Central, Hong Kong",25409108,37470789,admin@aacurapid.com,Office Staff / Executive Search
55,Abadi Employment Consultant Centre,威信(海外)僱傭中心,2004,Yuen Long District,"Shop 3073, 3rd floor, Inciti Kar Shing Building, 15-19 Kau Yuk Road, Yuen Long, New Territories",31065716,31065717,info@abadi.com.hk,Foreign Domestic Helpers
56,Abadi Employment Consultant Centre,威信(海外)僱傭中心,2009,Sai Kung District,"Room B9, 1st floor, Well On Garden, 9 Yuk Nga Lane, Tseung Kwan O, New Territories",27030660,27030660,info@abadi.com.hk,"Local Domestic Helpers, Foreign Domestic Helpers"
57,Abbion Services Limited,,2016,Yau Tsim Mong District,"Unit C, 4th floor, China Insurance Building, 48 Cameron Road, Tsim Sha Tsui, Kowloon",31826939, ,abbion@abbion.com.hk,Office Staff / Executive Search
58,Abbot Services Company,愛寶服務公司,1994, ,"Flat B, 21st floor, H & S Building, 36 Leighton Road, Causeway Bay, Hong Kong", , , ,Foreign Domestic Helpers
59,abc Fintech Recruiters Limited,,2018,Central and Western District,"23rd floor, On Hing Building, 1 On Hing Terrace, Central, Hong Kong",25982013,25982000,lschan@abcmultiactive.com,Office Staff / Executive Search
60,ABILITY AND COMPANY,致譽僱傭中心,2017,Yau Tsim Mong District,"Unit 05, 11th floor, Hollywood Plaza, No. 610 Nathan Road, Mong Kok, Kowloon",68161280,36189096,abilityhongkong@gmail.com,Foreign Domestic Helpers
61,Able Choice Personnel Consultancy,越秀職業介紹中心,2010,Yau Tsim Mong District,"Room 1803, 18th floor, Bright Way Tower, 33 Mong Kok Road, Mong Kok, Kowloon",23977288,23973320,mk@ablechoice.com,Office Staff / Executive Search
62,Able Choice Personnel Consultancy,越秀職業介紹中心,2010,Wan Chai District,"Room 903, 9th floor, Valley Centre, 80-82 Morrison Hill Road, Wan Chai, Hong Kong",28388603,25747689,wc@ablechoice.com,Office Staff / Executive Search
63,ABNC EMPLOYMENT AGENCIES CO.,卓誠僱傭中心,2004,Eastern District,"Flat 79, Ground floor, Maximall, Blocks 1-3, City Garden, 233 Electric Road, North Point, Hong Kong",25762911,25763600,abncmaid@yahoo.com.hk,"Local Domestic Helpers, Foreign Domestic Helpers"
64,Abundance Employment Agency,裕澄僱傭,2015,Yau Tsim Mong District,"Room 2606, 26th floor, Golden Era Plaza, 39 Sai Yee Street, Mong Kok, Kowloon",96991691,39795296,monicakpm@gmail.com,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker"
65,AC LINK RECRUITMENT,連心工商顧問,2017,Kwun Tong District,"Room 02, 10th floor, Kenning Industrial Building, 19 Wang Hoi Road, Kowloon Bay, Kowloon",27216998, ,jobs@aclinkrecruitment.com,Office Staff / Executive Search
66,AC Professional Services Limited,,2018,Central and Western District,"10th floor, Dawning House, 145 Connaught Road Central, Sheung Wan, Hong Kong",36861521, ,amandacheung92@gmail.com,Office Staff / Executive Search
67,Access Employment Services,安善菲傭,1991,Wan Chai District,"Flat B1, 16th floor, Block B, Pearl City Mansion, 22-36 Paterson Street, Causeway Bay, Hong Kong",28101010,28685865,accessmaid@yahoo.com.hk,"Foreign Domestic Helpers, Imported Worker, Other Non-office Worker"
68,Accolade HR Limited,卓遠人力資源有限公司,2021,Central and Western District,"Room 702, 7th floor, Fu Fai Commercial Centre, 27 Hillier Street, Sheung Wan, Hong Kong",35212883,35212901,phr@accoladegroup.com.hk,Office Staff / Executive Search
69,Accuracy Employee Agency,綽詩專業僱傭貿易中心,2005,Eastern District,"Room 243, 2nd floor, Solo Offices, 343-345 King's Road, North Point, Hong Kong",27118612,27118612, ,Foreign Domestic Helpers
70,Ace Cloud Holdings Limited,雲頂咨詢控股有限公司,2021,Central and Western District,"Room 2111, 21st floor, Wing On Centre, 111 Connaught Road Central, Sheung Wan, Hong Kong",29076686,29076696,zhangfeng1989@gmail.com,Office Staff / Executive Search
71,ACE DELIGHT HONG KONG LIMITED,忠精香港有限公司,2019,Wan Chai District,"Flat 2002, 20th floor, Wayson Commercial House, 68-70 Lockhart Road, Wan Chai, Hong Kong",27012111, ,ace.delight.hk.ltd@gmail.com,Foreign Domestic Helpers
72,Achiever Company,,2014,Central and Western District,"Room 21, 4th floor, Tung Hip Commercial Building, 244-248 Des Voeux Road Central, Central, Hong Kong",21172632,21173089,mw.kwok@hkachiever.com,Office Staff / Executive Search
73,ACI HR SOLUTIONS LIMITED,,2012, ,"66th floor, The Center, 99 Queen's Road Central, Central, Hong Kong",28248911, ,info@acihr.com,Office Staff / Executive Search
74,Acorns Consulting Limited,橡弘人力顧問有限公司,2016,Central and Western District,"Unit 1601, 16th floor, Kai Tak Commercial Building, 317-319 Des Voeux Road Central, Sheung Wan, Hong Kong",25453688,21533811,acornshk@gmail.com,Office Staff / Executive Search
75,ACTIVE GLOBAL SPECIALISED CAREGIVERS (HONG KONG) PTE LIMITED,活力國際專業護理有限公司,2013,Wan Chai District,"Flat A, 11th floor, Gold Swan Commercial Building, 438-444 Hennessy Road, Causeway Bay, Hong Kong",34262909,30139815,hk@activeglobalcaregiver.com,"Foreign Domestic Helpers, Other Non-office Worker"
76,ACTON CONSULTING LIMITED,津柏顧問有限公司,2013,Central and Western District,"Unit 2302, 23rd floor, New World Tower I, 18 Queen's Road Central, Central, Hong Kong",27929960,27923285,stanley.lam@actoncl.com,Office Staff / Executive Search
77,ACTS Consulting Co.,毅知顧問公司,2020,Eastern District,"Room 22, 12th floor, Block CD, Tung Chong Factory Building, 653-659 King's Road, North Point, Hong Kong",25211168, ,ff@actshr.com,Office Staff / Executive Search
78,Acument Group Limited,,2021,Yau Tsim Mong District,"Flat F, 17th floor, 8 Hart Avenue, Tsim Sha Tsui, Kowloon",59375469, ,info@acument.hk,Office Staff / Executive Search
79,AD-LINKAGE LIMITED,,2020,Eastern District,"Flat 1201, 12th floor, Fortress Tower, 250 King's Road, North Point, Hong Kong",29101428,29101418,cs3@ad-linkage.com,Office Staff / Executive Search
80,ADDISON KALLIAS LIMITED,,2020,Kowloon City District,"Room 1213, 12th floor, Tower A, Hunghom Commercial Centre, 39 Ma Tau Wai Road, Hung Hom, Kowloon",96947486, ,kwong@akallias.com,"Office Staff / Executive Search, Other Non-office Worker"
81,ADECCO Personnel Limited,,1997,Eastern District,"10th floor, Lee & Man Commercial Center, 169 Electric Road, North Point, Hong Kong",28952616,28953571,hongkong@adecco.com,Office Staff / Executive Search
82,ADIRA,,2017,Central and Western District,"Room 1104, 11th floor, Crawford House, 70 Queen's Road Central, Central, Hong Kong",98334041, ,devikavirmani@adiralimited.com,Office Staff / Executive Search
83,Adler Superior Consultants Limited,,2019,Kwun Tong District,"Room 1105, 11th floor, Block B, Chuan Yuan Factory Building, 342-344 Kwun Tong Road, Kwun Tong, Kowloon",21542833, ,cv@adlersuperior.com,Office Staff / Executive Search
84,ADMIRE RECRUITMENT AGENCY LIMITED,名合有限公司,2019,Central and Western District,"Flat B2, 10th floor, Chung Hing Commercial Building, 62-63 Connaught Road Central, Central, Hong Kong",23623788,23623289, ,"Local Domestic Helpers, Foreign Domestic Helpers"
85,ADP HUMAN RESOURCES SERVICES COMPANY LIMITED,,2016,Central and Western District,"Room 738, 7th floor, Grand Millennium Plaza, 181 Queen's Road Central, Central, Hong Kong", , , ,Office Staff / Executive Search
86,ADR Group International Limited,,2010,Central and Western District,"Unit 303, 3rd floor, Sun House, 181 Des Voeux Road, Sheung Wan, Hong Kong",36535593, ,contact@adr-search.com,Office Staff / Executive Search
87,ADR SEARCH,,2017,Central and Western District,"Unit 303, 3rd floor, Sun House, 181 Des Voeux Road, Sheung Wan, Hong Kong",36535593, ,contact@adr-search.com,Office Staff / Executive Search
88,ADRIAN & COMPANY,,2017,Kwun Tong District,"Unit 2602-3, 26th floor, BEA Tower, Millennium City 5, 418 Kwun Tong Road, Kwun Tong, Kowloon",39503381,39503403,contact@adriancom.com,Office Staff / Executive Search
89,Advance Court Overseas Employment Co.,華都藝舍海外僱傭公司,1992,Tuen Mun District,"Shop 34B, Level 2, Waldorf Shopping Centre, Castle Peak Road, TMTL 194, Tuen Mun, New Territories",24581573,24526735,info@advancecourt.com,Foreign Domestic Helpers
90,ADVANCE FINANCIAL MANAGEMENT LIMITED,,2020,Wan Chai District,"Room 2310, 23rd floor, Dominion Centre, 43-59 Queen's Road East, Wan Chai, Hong Kong",81753677, ,management@afmsearch.com,Office Staff / Executive Search
91,Advance Resources Personnel Consultants Limited,超越人事顧問有限公司,1999,Yau Tsim Mong District,"Room 1008, 10th floor, Wing On Plaza, 62 Mody Road, Tsim Sha Tsui, Kowloon",28953999,30119424,alexliu@arpcl.com,Office Staff / Executive Search
92,Advanced Stallion (International) Company Limited,,2021,Wan Chai District,"14th floor, Xiu Hua Commercial Building, 211-213 Jaffe Road, Wan Chai, Hong Kong",98086680, ,elainechu20@yahoo.com.hk,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker"
93,Advantage Consultant Co.,志璟顧問公司,2007,Yau Tsim Mong District,"Flat 491A, 2nd floor, Prospect Building, 491-493 Nathan Road, Yau Ma Tei, Kowloon",26012708,27711420,tammysum713@yahoo.com.hk,Foreign Domestic Helpers
94,ADVANTIS SEARCH,,2019,Yau Tsim Mong District,"Room 201-205, 2nd floor, Kowloon Centre, 29-43 Ashley Road, Tsim Sha Tsui, Kowloon",23762811,30101005,kavi.harilela@harilela.net,Office Staff / Executive Search
95,ADVENTUSOURCE TALENT LIMITED,,2014,Wan Chai District,"Unit 1205, 12th floor, Workingview Commercial Building, 21 Yiu Wa Street, Causeway Bay, Hong Kong",39917509, ,cy.lee@adventusource.com,Office Staff / Executive Search
96,AERO LINK LIMITED,,2021,Kwun Tong District,"Room 503, 5th floor, Tower 2, Phase 1, Enterprise Square, 9 Sheung Yuet Road, Kowloon Bay, Kowloon",27282209,27282210,office@aerolink.me,Other Non-office Worker
97,AEROTEK,,2016,Central and Western District,"Level 18, Cambridge House, Taikoo Place, 979 King's Road, Quarry Bay, Hong Kong",34733111,34733100,chris.croft@allegisgroup.com,Office Staff / Executive Search
98,AETERNA CONSULTANTS,天毅僱傭公司,2018,Tai Po District,"Shop 35B, 1st floor, Fortune Plaza, 4 On Chee Road, Tai Po, New Territories",36119292,34680055,foreverbestandy@yahoo.com.hk,Foreign Domestic Helpers
99,Affinis Asia,賢薈萃,2009,Eastern District,"Flat D, 28th floor, Evelyn Towers, 39 Cloud View Road, North Point, Hong Kong",31020700, ,contactus@affinisasia.com,Office Staff / Executive Search
100,AGA Professional Care Limited,盈科醫護集團有限公司,2018,Kwun Tong District,"Room 9, Office K, 7th floor, King Palace Plaza, 55 King Yip Street, Kwun Tong, Kowloon",98685736,39137231,info@aga-procare.com.hk,Other Non-office Worker
101,AGI CONSULTATION,,2021,Yau Tsim Mong District,"Room 802A, 8th floor, Mary Building, 71-77 Peking Road, Tsim Sha Tsui, Kowloon",65786012, ,hr@agi-consultation.com,Office Staff / Executive Search
102,AGILITY CONSULTING ASIA LIMITED,匯賢顧問亞太有限公司,2020,Tsuen Wan District,"Unit A, 19th floor, Tsuen Tung Factory Building, 38-40 Chai Wan Kok Street, Tsuen Wan, New Territories",68517833, ,miranda.cheng@agilityhr.asia,"Office Staff / Executive Search, Other Non-office Worker"
103,AGILITY CONSULTING ASIA LIMITED,匯賢顧問亞太有限公司,2020,Central and Western District,"Level 19, Two International Finance Centre, 8 Finance Street, Central, Hong Kong",68517833, ,miranda.cheng@agilityhr.asia,"Office Staff / Executive Search, Other Non-office Worker"
104,Agon Hospitality Recruitment,雅安專業招聘,2003,Yau Tsim Mong District,"Suite 905, 9th floor, Golden Gate Commercial Building, 136-138 Austin Road, Tsim Sha Tsui, Kowloon",31103430,39146883,darryl.agon@agon.com.hk,Office Staff / Executive Search
105,Agora Group Limited,,2012,Wan Chai District,"2nd floor, Beverly House, 93-107 Lockhart Road, Wan Chai, Hong Kong",81929318, ,contact@agoragroupinternational.com,"Office Staff / Executive Search, Other Non-office Worker"
106,AGroup Company,,2015,Kwai Tsing District,"Flat H, 3th floor, Block B, Marvel Industrial Building, 17-23 Kwai Fung Crescent, Kwai Chung, New Territories",21103966,21511617,cv@recruithk.net,Office Staff / Executive Search
107,AGS Group Limited,,2012,Wan Chai District,"3rd floor, Great Eagle Centre, 23 Harbour Road, Wan Chai, Hong Kong",21036499,30116352,ad@agsgroup.com.hk,Office Staff / Executive Search
108,Ahi Employment Agency,雅斯僱傭中心,2021,Eastern District,"Unit 1302, 13th floor, Java Commercial Centre, 128 Java Road, North Point, Hong Kong",27221131 / 66506678, ,agnes@ahihk.com / cherry@ahihk.com,Foreign Domestic Helpers
109,AIE Employment Centre,運進僱傭中心,2006,Yau Tsim Mong District,"Room 1605, 16th floor, Hollywood Plaza, 610 Nathan Road, Mong Kok, Kowloon",27701198,23889057, ,Foreign Domestic Helpers
110,aimHIGHER Consultancy Limited,,2003,Central and Western District,"Suite 1513-1516, 15th floor, Jardine House, 1 Connaught Place, Central, Hong Kong",21118482,21579090,info@aimhigher.com,Office Staff / Executive Search
111,aimHigher Consultancy Services Limited,,2014,Central and Western District,"Room 1513-1516, 15th floor, Jardine House, 1 Connaught Place, Central, Hong Kong",21118482,21579090,info@aimhigher.com,Office Staff / Executive Search
112,Aimsen (China) Consulting Limited,埃摩森(中國)咨詢有限公司,2019,Central and Western District,"Room 704A, 7th floor, Lucky Commercial Centre, 103 Des Voeux Road West, Sheung Wan, Hong Kong", , , ,Office Staff / Executive Search
113,AIMWORLD INTERNATIONAL,金敏國際,2014,Eastern District,"Flat F, 2nd floor, Yalford Building, 52-58 Tanner Road, North Point, Hong Kong",28516433,31064699,aimworld88@gmail.com,Foreign Domestic Helpers
114,AIMY EMPLOYMENT AGENCY,常在心僱傭中心,2021,Kwun Tong District,"Flat 6030, 6th floor, Wing Tai Centre, 12 Hing Yip Street, Kwun Tong, Kowloon",98620664, ,hflcm@hotmail.com,"Local Domestic Helpers, Foreign Domestic Helpers, Other Non-office Worker"
115,Air Win Employment Co.,佳運僱傭,2007, ,"Block B, 6th floor, Kwong Fat Building, 274 Sha Tsui Road, Tsuen Wan, New Territories", , , ,"Local Domestic Helpers, Foreign Domestic Helpers"
116,AIRTECH M&E HK LIMITED,,2017,Islands District,"2nd floor, 36 Ma Wan New Village, Pa Mei Street, Tung Chung, Lantau Island, New Territories",29977330,29977373,shree@airtech.hk,"Foreign Domestic Helpers, Office Staff / Executive Search"
117,AJOB,,2011,Central and Western District,"Unit H, 3rd floor, Central Mansion, 270-276 Queen's Road Central, Sheung Wan, Hong Kong",21513026,21512969,recruit@ajobhk.com,Office Staff / Executive Search
118,AK House Limited,,2021,Sham Shui Po District,"Unit 1910, 19th floor, Laford Centre, 838 Lai Chi Kok Road, Cheung Sha Wan, Kowloon",67939753, ,akhouse.info@gmail.com,Office Staff / Executive Search
119,AKARN CONSULTING,,2019,Central and Western District,"19th floor, Bupa Centre, 141 Connaught Road West, Sheung Wan, Hong Kong",35796888,21111180,ops@pinc-group.com,Office Staff / Executive Search
